Title,Year,Company,Form,Episodes,Genres,Link
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,  2014,Actas  ,OVA ,1,"Military,School,Sports",https://www.animeunity.tv/anime/1151-girls-und-panzer-kore-ga-hontou-no-anzio-sen-desu/
Girly Air Force,  2019,Satelight  ,TV ,12,"Action,Sci-fi,",https://www.animeunity.tv/anime/346-girly-air-force/
Given,  2019,Lerche  ,TV ,11,"Drama,Music,Romance",https://www.animeunity.tv/anime/1112-given/
Given Movie,  2021,Lerche  ,Movie ,1,"Drama,Music,Romance",https://www.animeunity.tv/anime/2953-given-movie/
Given: Uragawa no Sonzai,  2021,Lerche  ,OVA ,1,"Drama,Music,Romance",https://www.animeunity.tv/anime/3339-given-uragawa-no-sonzai/
GJ-bu,2013,,TV ,12,"Comedy,School,Slice of Life",https://www.animeunity.tv/anime/1462-gj-bu/
Glasslip,  2014,P.A. Works  ,TV ,13,"Romance,Slice of Life,Supernatural",https://www.animeunity.tv/anime/1909-glasslip/
Gleipnir,  2020,PINE JAM  ,TV ,13,"Action,Ecchi,Mystery",https://www.animeunity.tv/anime/2548-gleipnir/
Goblin Slayer,  2018,White Fox  ,TV ,12,"Action,Adventure,Fantasy",https://www.animeunity.tv/anime/2663-goblin-slayer/
Goblin Slayer (ITA),  2018,White Fox  ,TV ,12,"Action,Adventure,Fantasy",https://www.animeunity.tv/anime/3494-goblin-slayer-ita/
Goblin Slayer: Goblin's Crown,  2020,White Fox  ,Movie ,1,"Action,Adventure,Fantasy",https://www.animeunity.tv/anime/2605-goblin-slayer-goblins-crown/
Goblin Slayer: Goblin's Crown (ITA),  2020,White Fox  ,Movie ,1,"Action,Adventure,Fantasy",https://www.animeunity.tv/anime/3495-goblin-slayer-goblins-crown-ita/
Gochuumon wa Usagi Desu ka?,  2014,White Fox  ,TV ,12,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/2681-gochuumon-wa-usagi-desu-ka/
Gochuumon wa Usagi Desu ka??,  2015,"Kinema Citrus, White Fox  ",TV ,12,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/2682-gochuumon-wa-usagi-desu-ka/
Gochuumon wa Usagi Desu ka??: Dear My Sister,  2017,production doA  ,Movie ,1,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/2683-gochuumon-wa-usagi-desu-ka-dear-my-sister/
